data,descricao,valor,categoria
2026-02-15,PIX*JARDINS 132115,-55.75,outros
2026-02-15,BK BRASIL 6042,-17.54,alimentacao
2026-02-16,pix*joao,-15.78,outros
2026-02-16,TED ENVIADA 397117,-212.67,transferencia
2026-02-16,SACOLAO JARDINS,-155.53,mercado
2026-02-16,ESTAPAR ESTAC,-23.2,transporte
2026-02-17,METRO SP,-37.96,transporte
2026-02-17,SPOTIFY 996087,-263.2,lazer
2026-02-17,tim*fatura 274775,-45.68,contas_fixas
2026-02-17,c*condominio 5389,-91.26,contas_fixas
2026-02-18,BAR DO LTDA,-75.53,alimentacao
2026-02-18,C*ASSAI ATACAD,-75.54,mercado
2026-02-18,TEF STEAMGAMES.COM 838490,-54.26,lazer
2026-02-18,POSTO SHELL,-7.45,transporte
2026-02-18,COMGAS,-112.13,contas_fixas
2026-02-19,HABIBS,-42.48,alimentacao
2026-02-19,dia supermercado,-73.06,mercado
2026-02-19,MC DONALDS,-45.51,alimentacao
2026-02-19,CLARO NET,-108.66,contas_fixas
2026-02-19,TEF REST ME 587862,-40.03,alimentacao
2026-02-19,IFD*IFOOD,-23.86,alimentacao
2026-02-20,DL*UBER *EATS 255456,-74.24,alimentacao
2026-02-20,TEF METRO SP 325152,-11.94,transporte
2026-02-20,DL*ESTAPAR ESTAC,-24.0,transporte
2026-02-20,MC DONALDS,-8.59,alimentacao
2026-02-20,TED RECEBIDA,159.68,transferencia
2026-02-20,COMPRA IPTU SILVA,-81.64,contas_fixas
2026-02-21,TEF ANUIDADE CARTAO 307321,-12.41,outros
2026-02-21,SACOLAO LTDA 25598,-87.57,mercado
2026-02-22,MC DONALDS 714393,-22.0,alimentacao
2026-02-22,NETFLIX.COM 47162,-32.73,lazer
2026-02-22,drogasil 1575,-134.74,saude
2026-02-23,compra via quatro,-3.68,transporte
2026-02-23,TEF UBER *TRIP 749730,-13.09,transporte
2026-02-23,VIA QUATRO 368406,-9.44,transporte
2026-02-23,COMPRA ASSAI ATACAD,-259.43,mercado
2026-02-23,pag*farmacia,-264.15,saude
2026-02-23,BURGER KING,-31.5,alimentacao
2026-02-23,alura cursos 256749,-135.73,educacao
2026-02-23,COMGAS,-177.47,contas_fixas
2026-02-24,posto ipiranga,-19.97,transporte
2026-02-24,IPTU 01 205129,-239.68,contas_fixas
2026-02-24,HABIBS,-51.16,alimentacao
2026-02-25,IFD*IFOOD,-37.18,alimentacao
2026-02-25,tef vivo fixo,-121.05,contas_fixas
2026-02-25,TRANSF ENVIADA,-280.52,transferencia
2026-02-25,ATACADAO 1829 68440,-36.37,mercado
2026-02-26,PAG*UBER *EATS 335869,-27.92,alimentacao
2026-02-26,PAG*KINDLE EDU,-57.57,educacao
2026-02-26,ze delivery 391021,-63.29,alimentacao
2026-02-26,subway 1849,-21.99,alimentacao
2026-02-27,VIA QUATRO,-32.12,transporte
2026-02-27,PIZZARIA BR 452469,-26.49,alimentacao
2026-02-28,LAB SILVA 462653,-23.73,saude
2026-02-28,COMGAS,-145.45,alimentacao
2026-02-28,VIA QUATRO,-28.69,transporte
2026-02-28,DOC ENVIADO,-666.56,transferencia
2026-02-28,PAG*IFOOD,-416.36,alimentacao
2026-03-01,INTERNET VIVO 654624,-249.85,contas_fixas
2026-03-01,METRO SP 286118,-37.19,transporte
2026-03-01,REST MARIA,-75.52,alimentacao
2026-03-01,HORTIFRUTI ME,-148.7,educacao
2026-03-01,steamgames.com,-61.28,lazer
2026-03-01,C*SAQUE 24HORAS,-12.71,outros
2026-03-01,TEF UDEMY 119489,-68.97,educacao
2026-03-01,TEF PIZZARIA SP,-35.66,alimentacao
2026-03-02,PIZZARIA MARIA,-9.87,alimentacao
2026-03-02,ASSAI ATACAD,-157.61,mercado
2026-03-02,UBER* VIAGEM,-217.4,transporte
2026-03-02,PAG*CARREFOUR,-64.69,mercado
2026-03-02,PAG*RAPPI 619232,-8.42,alimentacao
2026-03-02,TEF UBER 705478,-23.49,transporte
2026-03-02,DL*INTERNET VIVO,-50.67,contas_fixas
2026-03-03,TEF UBER 747294,-6.85,transporte
2026-03-03,tef ze delivery 226029,-66.68,alimentacao
2026-03-03,C*CARREFOUR 1807 512291,-69.21,mercado
2026-03-03,BAR DO RJ,-32.01,alimentacao
2026-03-03,ALUGUEL BR,-187.22,contas_fixas
2026-03-04,DL*PLAYSTATION NET 107492,-13.06,lazer
2026-03-04,DIA SUPERMERCADO,-104.2,mercado
2026-03-04,PAG*RAPPI 991244,-57.39,alimentacao
2026-03-04,PIZZARIA BR,-39.77,alimentacao
2026-03-04,SPOTIFY BR 902676,-22.15,lazer
2026-03-04,PAG*NETFLIX.COM,-411.73,lazer
2026-03-05,SABESP 264784,-64.81,contas_fixas
2026-03-05,INTERNET VIVO,-135.97,contas_fixas
2026-03-05,doc enviado 122377,-1659.9,transferencia
2026-03-05,ENEL SP,-53.35,contas_fixas
2026-03-05,c*ifood *pedido 822144,-33.07,alimentacao
2026-03-06,POSTO SHELL,-37.32,transporte
2026-03-06,ENEL DISTRIB,-61.33,contas_fixas
2026-03-06,COMPRA ALUGUEL JARDINS 682538,-68.08,contas_fixas
2026-03-07,PAG*IFOOD,-80.44,lazer
2026-03-07,C*SPOTIFY BR,-21.06,lazer
2026-03-07,DROGA RAIA 608624,-690.18,transporte
2026-03-07,atacadao 6904,-117.24,mercado
2026-03-07,COMPRA UDEMY 548932,-64.53,educacao
2026-03-08,DL*CARREFOUR 2236 832545,-81.45,mercado
2026-03-08,PIX ENVIADO 460984,-463.47,transferencia
2026-03-08,POSTO SHELL 774319,-16.1,transporte
2026-03-08,PAG*ASSAI ATACAD,-52.75,mercado
2026-03-08,POSTO IPIRANGA,-28.22,transporte
2026-03-08,PAG*BAR SP,-23.1,lazer
2026-03-08,SABESP,-62.19,contas_fixas
2026-03-08,DISNEY PLUS,-54.49,lazer
2026-03-09,PIX*JOAO,-635.3,transferencia
2026-03-09,hotmart*curso,-163.81,educacao
2026-03-09,METRO SP,-9.62,transporte
2026-03-09,hortifruti sp,-380.83,mercado
2026-03-09,PIX RECEBIDO,394.44,transferencia
2026-03-10,TRANSF ENVIADA,-765.75,transferencia
2026-03-11,MC DONALDS,-54.61,alimentacao
2026-03-11,PAG*ALURA 909805,-152.64,educacao
2026-03-11,PAG*IFOOD 648432,-90.75,alimentacao
2026-03-11,METRO SP,-23.23,transporte
2026-03-11,TRANSF RECEBIDA,211.01,transferencia
2026-03-11,IFOOD *PEDIDO,-12.83,alimentacao
2026-03-11,compra saque 24horas 274244,-331.63,outros
2026-03-11,IFD*IFOOD,-45.82,alimentacao
2026-03-11,ATACADAO 5214,-136.34,mercado
2026-03-12,AMAZON PRIME 208458,-23.99,lazer
2026-03-12,BURGER KING,-24.45,alimentacao
2026-03-12,PADARIA CENTRO,-47.55,alimentacao
2026-03-12,HORTIFRUTI LTDA,-34.95,alimentacao
2026-03-12,clinica eireli,-59.23,saude
2026-03-13,POSTO IPIRANGA,-44.24,transporte
2026-03-13,PAG*SACOLAO LTDA,-70.94,mercado
2026-03-13,tim*fatura,-67.32,contas_fixas
2026-03-14,ifd*ifood 797530,-20.58,alimentacao
2026-03-14,REST ME 231415,-11.92,alimentacao
2026-03-14,ENEL DISTRIB,-94.92,contas_fixas
2026-03-14,CARREFOUR 6235,-60.36,mercado
2026-03-14,PAG*POSTO IPIRANGA,-4.56,contas_fixas
2026-03-14,COMPRA RECARGA BU 5183,-11.0,transporte
2026-03-14,SUBWAY 3613 852636,-20.49,alimentacao
2026-03-14,C*PADARIA RJ,-26.48,alimentacao
2026-03-14,TARIFA PACOTE,-26.89,outros
2026-03-14,SUBWAY 7062 81534,-69.22,alimentacao
2026-03-14,assai atacad,-133.3,mercado
2026-03-14,EXTRA SUPER 677 474108,-139.0,mercado
2026-03-15,carrefour 952,-97.1,mercado
2026-03-16,PIX ENVIADO,-81.45,transferencia
2026-03-16,superm me 824987,-50.84,mercado
2026-03-16,pag*ifood,-115.55,alimentacao
2026-03-16,PAO DE ACUCAR 686486,-106.85,mercado
2026-03-16,TEF UBER 975896,-38.53,transporte
2026-03-17,SACOLAO JARDINS,-79.76,mercado
2026-03-17,DL*PIZZARIA 01,-26.97,alimentacao
2026-03-18,RAPPI*BRASIL 301834,-18.67,alimentacao
2026-03-18,PLAYSTATION NET,-75.74,lazer
2026-03-18,ZE DELIVERY,-24.39,alimentacao
2026-03-18,C*TED RECEBIDA,131.09,transferencia
2026-03-19,dl*doc enviado 739795,-36.6,transferencia
2026-03-19,IFD*IFOOD,-65.15,alimentacao
2026-03-19,ENEL SP,-169.95,contas_fixas
2026-03-19,BAR DO SILVA 562091,-28.77,alimentacao
2026-03-19,MC DONALDS,-358.77,alimentacao
2026-03-20,TED RECEBIDA,383.47,transferencia
2026-03-20,VIVO FIXO 223636,-85.98,contas_fixas
2026-03-20,drogaria sp,-43.0,saude
2026-03-20,TEF POSTO SHELL,-14.25,transporte
2026-03-20,STEAMGAMES.COM,-41.82,lazer
2026-03-20,PAO DE ACUCAR 313735,-76.78,mercado
2026-03-20,drogasil 7278,-50.28,saude
2026-03-20,PAGAMENTO RECEBIDO,354.69,transferencia
2026-03-21,CINEMARK 6375,-20.51,lazer
2026-03-21,PAG*IFOOD,-25.91,alimentacao
2026-03-21,superm comercio 799373,-113.16,mercado
2026-03-22,burger king 220875,-22.1,alimentacao
2026-03-22,DL*RAPPI*BRASIL,-41.93,alimentacao
2026-03-22,PAG*TRANSF RECEBIDA,1960.46,transferencia
2026-03-22,IPTU RJ,-168.66,contas_fixas
2026-03-22,SALARIO,183.02,transferencia
2026-03-22,TEF METRO SP,-51.47,educacao
2026-03-22,PAG*RAPPI,-16.95,alimentacao
2026-03-22,IFOOD *PEDIDO,-64.39,alimentacao
2026-03-22,EXTRA SUPER 4380 474036,-239.55,mercado
2026-03-23,PIX ENVIADO 827250,-171.85,transferencia
2026-03-23,DL*ALUGUEL MARIA,-297.13,contas_fixas
2026-03-23,PAG*KINDLE EDU,-177.7,educacao
2026-03-23,TEF SABESP,-317.7,contas_fixas
2026-03-24,POSTO IPIRANGA,-11.1,transporte
2026-03-24,TIM*FATURA,-123.23,contas_fixas
2026-03-24,DROGA RAIA,-45.95,saude
2026-03-24,VIA QUATRO,-15.8,transporte
2026-03-24,saque banco24h,-26.62,outros
2026-03-25,CONDOMINIO 4611,-53.49,contas_fixas
2026-03-25,REST RJ,-62.73,alimentacao
2026-03-26,ALUGUEL MARIA,-1138.34,contas_fixas
2026-03-26,PAG*UBER* VIAGEM,-140.12,transporte
2026-03-26,99*APP,-5.46,transporte
2026-03-26,BURGER KING 275712,-50.92,alimentacao
2026-03-26,C*CARREFOUR 7592,-139.47,mercado
2026-03-26,DL*UBER *EATS 143092,-27.67,alimentacao
2026-03-26,INGRESSO.COM,-21.82,lazer
2026-03-26,TEF TRANSF ENVIADA,-81.31,transferencia
2026-03-27,TED RECEBIDA,848.26,transferencia
2026-03-27,REST SP,-34.26,alimentacao
2026-03-27,COMPRA UBER *TRIP,-14.39,transporte
2026-03-27,POSTO SHELL 708972,-15.46,transporte
2026-03-27,PIX*CENTRO 259872,-33.74,transferencia
2026-03-28,INTERNET VIVO 380195,-179.13,contas_fixas
2026-03-28,EXTRA SUPER 3273,-26.57,mercado
2026-03-28,ALURA CURSOS 360628,-33.12,educacao
2026-03-29,SUBWAY 4457,-35.54,alimentacao
2026-03-29,PIX ENVIADO,-399.74,transferencia
2026-03-29,AUTO POSTO 6183,-46.64,transporte
2026-03-29,TED RECEBIDA 324191,363.79,transferencia
2026-03-29,bar do ltda 69703,-51.43,alimentacao
2026-03-29,BK BRASIL 143,-35.57,alimentacao
2026-03-30,auto posto 4955 110780,-18.63,transferencia
2026-03-30,POSTO IPIRANGA,-19.92,transporte
2026-03-30,claro net,-263.39,educacao
2026-03-30,DL*PAO DE ACUCAR,-118.46,mercado
2026-03-30,PIZZARIA 01 556977,-13.25,alimentacao
2026-03-30,HABIBS,-50.05,alimentacao
2026-03-30,IOF 146708,-23.29,outros
2026-03-31,COMPRA CARREFOUR 4912,-94.89,mercado
2026-03-31,DIA SUPERMERCADO 819467,-197.81,mercado
2026-03-31,PADARIA JOAO,-71.46,alimentacao
2026-04-01,C*PADARIA LTDA,-30.69,alimentacao
2026-04-01,CINEMARK 9847,-175.29,lazer
2026-04-01,pag*carrefour 706724,-267.43,mercado
2026-04-01,C*ENEL DISTRIB 255313,-76.25,contas_fixas
2026-04-02,TEF COMGAS,-112.97,contas_fixas
2026-04-02,AUTO POSTO 1060,-41.91,transporte
2026-04-02,PAGUE MENOS 325460,-27.76,saude
2026-04-02,IFOOD *PEDIDO,-33.76,alimentacao
2026-04-02,tef salario,107.52,transferencia
2026-04-02,99POP 2638 172449,-30.28,transporte
2026-04-02,transf enviada,-2435.72,transferencia
2026-04-03,COMPRA SALARIO,268.11,transferencia
2026-04-03,CLARO NET,-75.1,contas_fixas
2026-04-03,DL*TED ENVIADA 955555,-229.74,transferencia
2026-04-03,tim*fatura,-38.54,contas_fixas
2026-04-03,TRANSF ENVIADA,-152.81,transferencia
2026-04-03,tef uber 571558,-14.09,transporte
2026-04-04,POSTO IPIRANGA,-12.78,transporte
2026-04-04,shell box,-43.72,transporte
2026-04-04,DOC ENVIADO,-193.57,transferencia
2026-04-04,C*ENEL SP,-94.77,contas_fixas
2026-04-05,PAG*IFOOD 715144,-23.57,alimentacao
2026-04-05,DL*HORTIFRUTI ME,-100.63,mercado
2026-04-05,PAGAMENTO RECEBIDO 249499,658.17,transferencia
2026-04-05,DL*TIM*FATURA,-87.91,contas_fixas
2026-04-05,CONDOMINIO 7458,-148.46,contas_fixas
2026-04-05,MC DONALDS,-77.98,alimentacao
2026-04-06,C*MC DONALDS 651578,-25.68,alimentacao
2026-04-06,enel sp,-187.14,contas_fixas
2026-04-06,TEF UBER 516619,-6.21,transporte
2026-04-06,AMAZON PRIME,-17.78,lazer
2026-04-06,PAG*RAPPI,-39.38,alimentacao
2026-04-06,PAG*RAPPI 324123,-39.96,alimentacao
2026-04-07,MC DONALDS 276279,-15.87,alimentacao
2026-04-07,FACULDADE JARDINS 224915,-73.79,educacao
2026-04-08,PAO DE ACUCAR,-211.32,mercado
2026-04-08,C*COMGAS,-67.75,contas_fixas
2026-04-08,SABESP,-145.98,contas_fixas
2026-04-08,SAQUE BANCO24H 135295,-117.59,outros
2026-04-08,ingresso.com,-106.25,lazer
2026-04-08,ENEL DISTRIB,-196.68,contas_fixas
2026-04-08,DIA SUPERMERCADO,-350.29,mercado
2026-04-09,dl*atacadao 9699,-49.9,mercado
2026-04-09,TEF ENEL SP 279426,-118.13,contas_fixas
2026-04-09,TIM*FATURA,-197.43,contas_fixas
2026-04-10,TIM*FATURA,-107.15,saude
2026-04-10,ASSAI ATACAD,-28.36,mercado
2026-04-10,C*ENEL DISTRIB 941371,-108.51,contas_fixas
2026-04-10,FACULDADE BR 729713,-104.92,educacao
2026-04-10,TEF METRO SP,-28.29,transporte
2026-04-10,PAG BOLETO,-10.03,outros
2026-04-10,comgas,-105.88,contas_fixas
2026-04-11,PAG*CARREFOUR 36402,-90.07,mercado
2026-04-11,PAG*POSTO SHELL,-25.12,contas_fixas
2026-04-11,iptu ltda 706867,-89.12,contas_fixas
2026-04-12,PLAYSTATION NET,-26.31,lazer
2026-04-12,BURGER KING,-42.38,alimentacao
2026-04-12,netflix.com,-57.64,lazer
2026-04-12,C*SPOTIFY,-29.8,lazer
2026-04-12,TED ENVIADA,-435.19,transferencia
2026-04-12,TED ENVIADA,-5486.1,transferencia
2026-04-12,KINDLE EDU 817327,-120.57,educacao
2026-04-13,PAG*ZE DELIVERY 90092,-109.42,alimentacao
2026-04-13,PAGAMENTO RECEBIDO,1949.92,transferencia
2026-04-13,PAG*TED RECEBIDA,174.89,transferencia
2026-04-13,BURGER KING,-52.89,alimentacao
2026-04-13,MC DONALDS,-37.22,transporte
2026-04-14,TEF TED ENVIADA,-267.47,transferencia
2026-04-14,steamgames.com,-18.42,contas_fixas
2026-04-14,PAG*BAR ME 83653,-55.56,lazer
2026-04-14,TEF ENEL DISTRIB,-233.43,contas_fixas
2026-04-15,doc enviado,-260.27,transferencia
2026-04-15,PIZZARIA RJ,-43.4,alimentacao
2026-04-15,UBER* VIAGEM,-20.27,transporte
2026-04-16,CARREFOUR 2822,-126.05,mercado
2026-04-16,RECARGA BU 3002,-44.82,transporte
2026-04-16,C*ALUGUEL SILVA,-129.12,contas_fixas
2026-04-16,KINDLE EDU 525330,-169.99,educacao
2026-04-16,ENEL SP,-167.52,contas_fixas
2026-04-16,POSTO IPIRANGA,-18.27,transporte
2026-04-16,COMGAS,-120.26,contas_fixas
2026-04-17,HABIBS,-55.45,alimentacao
2026-04-17,BAR DO CENTRO 867877,-23.32,alimentacao
2026-04-18,99POP 2864,-18.22,transporte
2026-04-18,TEF HOTMART*CURSO,-85.34,educacao
2026-04-18,LIVRARIA SILVA 37844,-134.43,educacao
2026-04-18,DL*ZE DELIVERY,-21.36,alimentacao
2026-04-18,PAG*EXTRA SUPER 9975,-56.46,mercado
2026-04-18,PAG*CARREFOUR 193088,-57.26,mercado
2026-04-19,CINEMARK 5557,-11.16,lazer
2026-04-19,SPOTIFY BR,-60.75,lazer
2026-04-19,ASSAI ATACAD 463678,-60.43,mercado
2026-04-19,HORTIFRUTI EIRELI,-155.97,mercado
2026-04-20,PIZZARIA LTDA 106756,-23.65,alimentacao
2026-04-20,DROGARIA SP,-36.27,saude
2026-04-20,CARREFOUR 3897,-62.79,mercado
2026-04-20,PAG*FARMACIA,-42.51,saude
2026-04-20,PAGAMENTO RECEBIDO 842469,446.19,transferencia
2026-04-20,STEAMGAMES.COM 282433,-48.97,lazer
2026-04-20,RAPPI*BRASIL,-44.72,alimentacao
2026-04-21,SALARIO 565155,239.55,transferencia
2026-04-21,dl*internet vivo,-118.83,contas_fixas
2026-04-22,C*NETFLIX.COM,-74.4,transferencia
2026-04-22,ALURA CURSOS,-53.96,educacao
2026-04-22,PAG*BURGER KING,-77.73,alimentacao
2026-04-22,subway 381,-73.86,alimentacao
2026-04-23,SACOLAO SILVA,-90.21,mercado
2026-04-23,IFOOD *PEDIDO,-59.8,alimentacao
2026-04-23,PAO DE ACUCAR,-107.18,mercado
2026-04-23,IFOOD *PEDIDO 729841,-95.13,alimentacao
2026-04-23,REST JOAO 238861,-22.09,alimentacao
2026-04-23,TEF HOTMART*CURSO 246550,-119.67,educacao
2026-04-23,VIVO FIXO,-225.88,contas_fixas
2026-04-23,PAG*ESCOLA 719955,-110.18,educacao
2026-04-24,PAG*ALURA,-134.57,educacao
2026-04-24,ATACADAO 4651,-146.23,mercado
2026-04-25,pag*carrefour,-311.43,mercado
2026-04-25,ze delivery,-32.56,alimentacao
2026-04-25,FARMA ME,-14.87,saude
2026-04-25,TEF UBER,-23.79,transporte
2026-04-26,estapar estac 17401,-3.86,transporte
2026-04-26,mc donalds,-27.73,alimentacao
2026-04-26,IFD*IFOOD 939358,-44.5,alimentacao
2026-04-26,TEF UBER,-16.2,transporte
2026-04-27,SUPERM SILVA,-22.93,mercado
2026-04-27,STEAMGAMES.COM,-15.58,lazer
2026-04-27,99*APP,-21.04,transporte
2026-04-28,PIX RECEBIDO,671.07,transferencia
2026-04-28,ALURA CURSOS,-695.13,educacao
2026-04-28,c*salario 159060,95.24,transferencia
2026-04-28,TEF PAO DE ACUCAR,-55.36,mercado
2026-04-28,ESTAPAR ESTAC,-11.81,educacao
2026-04-29,BAR DO EIRELI 397581,-32.53,alimentacao
2026-04-29,CARREFOUR 3097,-77.65,mercado
2026-04-29,SHELL BOX,-15.03,transporte
2026-04-29,TIM*FATURA,-177.35,contas_fixas
2026-04-29,PAG*FARMACIA,-125.45,saude
2026-04-30,TEF TARIFA PACOTE,-10.77,outros
2026-04-30,SPOTIFY 447392,-7.82,lazer
2026-04-30,uber* viagem,-69.83,transporte
2026-04-30,TEF VIA QUATRO,-13.13,transporte
2026-04-30,ASSAI ATACAD 324915,-262.24,mercado
2026-04-30,DIA SUPERMERCADO 843792,-294.98,mercado
2026-04-30,ENEL SP 54832,-82.47,contas_fixas
2026-04-30,PAGUE MENOS,-58.39,transporte
2026-04-30,compra pao de acucar,-94.05,mercado
2026-05-01,SUPERM ME 305450,-108.59,mercado
2026-05-01,TED ENVIADA 521923,-65.44,transferencia
2026-05-01,PAG*CARREFOUR,-348.53,mercado
2026-05-01,pao de acucar,-109.7,mercado
2026-05-01,ENEL DISTRIB,-79.95,contas_fixas
2026-05-02,IOF,-57.8,outros
2026-05-02,ENEL SP 4301,-79.94,contas_fixas
2026-05-02,BURGER KING,-92.78,alimentacao
2026-05-03,YOUTUBEPREMIUM 816511,-21.06,lazer
2026-05-03,BAR DO COMERCIO,-15.97,alimentacao
2026-05-03,DROGASIL 4862 477998,-205.48,saude
2026-05-03,ESTAPAR ESTAC,-25.22,transporte
2026-05-03,SUBWAY 2766 30306,-40.44,alimentacao
2026-05-04,youtubepremium 370046,-19.29,lazer
2026-05-04,C*DOC ENVIADO,-260.51,transferencia
2026-05-04,steamgames.com 856509,-32.1,lazer
2026-05-04,ted recebida 469139,91.13,transferencia
2026-05-05,COURSERA,-135.31,educacao
2026-05-05,pix recebido,64.43,transferencia
2026-05-05,ASSAI ATACAD 365559,-214.78,mercado
2026-05-05,pix*ltda,-284.31,transferencia
2026-05-05,SALARIO,409.02,transferencia
2026-05-05,MC DONALDS,-23.6,alimentacao
2026-05-05,PAGAMENTO RECEBIDO,1344.59,transferencia
2026-05-05,PLAYSTATION NET,-24.74,lazer
2026-05-05,COMPRA DIA SUPERMERCADO 875757,-54.49,mercado
2026-05-05,DL*YOUTUBEPREMIUM,-26.29,lazer
2026-05-06,pag*bar joao 927070,-8.85,lazer
2026-05-06,DL*PIZZARIA CENTRO 116587,-43.23,alimentacao
2026-05-06,REST JARDINS,-90.11,alimentacao
2026-05-07,amazon prime,-18.07,lazer
2026-05-07,TED RECEBIDA,399.13,transferencia
2026-05-07,UBER* VIAGEM 464562,-24.77,transporte
2026-05-07,bk brasil 5460 616676,-70.11,alimentacao
2026-05-07,ASSAI ATACAD 80906,-148.54,mercado
2026-05-07,PAG*RAPPI 184220,-26.56,alimentacao
2026-05-08,PIZZARIA SP 929345,-34.31,alimentacao
2026-05-08,SUBWAY 3644,-45.48,alimentacao
2026-05-08,PAG*CARREFOUR,-131.94,mercado
2026-05-08,NETFLIX.COM 293683,-39.58,lazer
2026-05-09,PAGAMENTO RECEBIDO,88.22,transferencia
2026-05-09,COMPRA COURSERA,-142.65,educacao
2026-05-09,PIZZARIA JARDINS,-34.73,alimentacao
2026-05-09,PAG*PAO DE ACUCAR,-72.91,mercado
2026-05-10,AMAZON PRIME,-54.04,lazer
2026-05-10,TRANSF ENVIADA,-272.59,transferencia
2026-05-10,CINEMARK 5625,-44.35,lazer
2026-05-11,C*TRANSF RECEBIDA,124.37,transferencia
2026-05-12,C*TIM*FATURA,-1017.63,contas_fixas
2026-05-12,iptu br,-139.12,contas_fixas
2026-05-12,TED RECEBIDA,200.06,transferencia
2026-05-13,SACOLAO SILVA,-80.15,mercado
2026-05-13,pag*uber* viagem 626927,-27.68,transporte
2026-05-13,TARIFA PACOTE,-109.36,outros
2026-05-14,STEAMGAMES.COM,-96.91,lazer
2026-05-14,pague menos,-48.98,saude
2026-05-14,C*ENEL DISTRIB,-98.23,contas_fixas
